date,positive
03/15,3
03/16,0
03/17,12
03/18,9
03/19,7
03/20,11
03/21,7
03/22,2
03/23,16
03/24,17
03/25,41
03/26,47
03/27,40
03/28,63
03/29,68
03/30,13
03/31,78
04/01,66
04/02,97
04/03,89
04/04,116
04/05,143
04/06,83
04/07,79
04/08,144
04/09,178
04/10,187
04/11,197
04/12,166
04/13,91
04/14,160
04/15,126
04/16,148
04/17,201
04/18,181
04/19,107
04/20,102
04/21,123
04/22,132
04/23,134
04/24,161
04/25,103
04/26,72
04/27,39
04/28,112
04/29,47
04/30,46
05/01,165
05/02,158
05/03,91
05/04,87
05/05,58
05/06,38
05/07,23
05/08,39
05/09,36
